"Orthogroup"	"recipient_protein"	"selected_donor_sister_tiplabels"	"selected_donor_cousin_tiplabels"	"all_sister_tiplabels"	"all_cousin_tiplabels"	"sister_node_support"	"cousin_node_support"
"MOG0000002"	"1257118_ACANB11537_t1"	""	""	"133409_A0A8J4V3H2_9MYCE,1410327_XP_012754018.1,261658_F4PTS4_CACFS,361077_A0A151Z458_TIELA,44689_Q54D62_DICDI,5762_D2V655_NAEGR,5762_D2W1P7_NAEGR,5786_F0ZIL5_DICPU,5949_A0A077ZPB7_STYLE,5949_A0A077ZRH9_STYLE,5949_A0A078A4Q0_STYLE,5949_A0A078A5J2_STYLE,5949_A0A078A690_STYLE,5949_A0A078B742_STYLE,670386_D3BIA3_HETP5,79012_KAK5582304.1"	"1144522_A0A1J4JLR4_9EUKA,1144522_A0A1J4KPI2_9EUKA,1144522_A0A1J4L104_9EUKA,1169540_A0A0G4EXL7_VITBC,1169540_A0A0G4GS09_VITBC,135588_KAH0804264.1,1915356_KAK8882457.1,2049346_KAK2944531.1,2049346_KAK2952818.1,2049346_KAK2954757.1,2049346_KAK2956476.1,2049346_KAK2957079.1,2049346_KAK2960803.1,2049346_KAK2964157.1,2049346_KAK2964948.1,2049356_KAH7815407.1,2049356_KAH7816084.1,2049356_KAH7817364.1,2049356_KAH7823276.1,2049356_KAH7823865.1,2049356_KAH7824513.1,2049356_KAH7827740.1,2049356_KAH7829346.1,2049356_KAH7830095.1,2049356_KAH7831889.1,2049356_KAH7832003.1,222440_KAA6382324.1,222440_KAA6391670.1,28002_CAK9333048.1,28002_CAK9334085.1,28002_CAK9334276.1,28002_CAK9334469.1,28002_CAK9337536.1,28002_CAK9338331.1,28002_CAK9338414.1,28002_CAK9338692.1,28002_CAK9338736.1,28002_CAK9339901.1,28002_CAK9339951.1,28002_CAK9340593.1,28002_CAK9340809.1,28002_CAK9340910.1,28002_CAK9341580.1,28002_CAK9343013.1,28002_CAK9343399.1,28002_CAK9344249.1,28002_CAK9344865.1,28002_CAK9344868.1,28002_CAK9345183.1,28002_CAK9345190.1,28002_CAK9346067.1,28002_CAK9346081.1,28002_CAK9349574.1,28002_CAK9350447.1,28002_CAK9350463.1,28002_CAK9350491.1,28002_CAK9350513.1,28002_CAK9351159.1,28002_CAK9351558.1,28002_CAK9353144.1,28002_CAK9353157.1,28002_CAK9354885.1,28002_CAK9354887.1,28002_CAK9358341.1,28002_CAK9358354.1,28002_CAK9359657.1,28002_CAK9359658.1,28002_CAK9359665.1,28002_CAK9360154.1,28002_CAK9360173.1,28002_CAK9362591.1,28002_CAK9364023.1,28002_CAK9364343.1,28002_CAK9365089.1,28002_CAK9365798.1,28002_CAK9369106.1,28002_CAK9376476.1,28002_CAK9376483.1,28002_CAK9377592.1,28002_CAK9378055.1,28002_CAK9378061.1,28002_CAK9379342.1,28002_CAK9379529.1,28002_CAK9383840.1,28002_CAK9383843.1,28002_CAK9384591.1,28002_CAK9392084.1,28002_CAK9392106.1,28002_CAK9393550.1,28002_CAK9394421.1,28002_CAK9394747.1,28002_CAK9394748.1,28002_CAK9396202.1,28002_CAK9396261.1,28002_CAK9398544.1,28002_CAK9401498.1,28002_CAK9406656.1,28002_CAK9409243.1,3038956_g4020.t1,3038956_g5239.t1,3038956_g5240.t1,3038956_g5736.t1,3038956_g9140.t1,342808_KAJ4456615.1,342808_KAJ4456821.1,342808_KAJ4457453.1,342808_KAJ4459679.1,342808_KAJ4461262.1,342808_KAJ4461694.1,342808_KAJ4462096.1,348837_A0A9P8LMP1_9EUKA,348837_A0A9P8LRS5_9EUKA,348837_A0A9P8RXM0_9EUKA,348837_A0A9P8S112_9EUKA,348837_V6LC26_9EUKA,348837_V6LEE5_9EUKA,348837_V6LG81_9EUKA,348837_V6LJA4_9EUKA,348837_V6LJL8_9EUKA,348837_V6LMM0_9EUKA,348837_V6LRG4_9EUKA,348837_V6LWE6_9EUKA,348837_V6LXG3_9EUKA,348837_V6M1J6_9EUKA,412133_A2DPZ6_TRIV3,412133_A2E0B9_TRIV3,412133_A2E6N1_TRIV3,412133_A2ENW9_TRIV3,483367_KAJ1629113.1,5741_KAE8301611.1,5741_KAE8301878.1,5741_KAE8303270.1,5741_KAE8304426.1,5741_KAE8304515.1,5742_A0A4Z1SNX1_GIAMU,5742_A0A4Z1SVL4_GIAMU,5742_A0A4Z1T549_GIAMU,797122_A0A9K3GNN9_9EUKA,797122_A0A9K3GQV0_9EUKA"	"38"	"15"
"MOG0000002"	"1257118_ACANB15458_t1"	""	""	"201153_A0A8J6ARL3_9EUKA,201153_A0A8J6E114_9EUKA,342808_KAJ4462472.1,342808_KAJ4462473.1,5742_A0A4Z1SZF1_GIAMU"	"201153_A0A8J6B1G1_9EUKA,201153_A0A8J6DYG0_9EUKA,2081491_A0A8J5XC66_DIALT,2081491_A0A8J5Y1D8_DIALT,28002_CAK9353526.1,28002_CAK9388805.1,2951_A0A1Q9EJK4_SYMMI,342808_KAJ4459073.1,348837_V6LR64_9EUKA,483367_KAJ1626792.1,5741_KAE8303242.1,5741_KAE8303245.1,5741_KAE8304641.1,5742_A0A4Z1SLN7_GIAMU,797122_A0A9K3CR13_9EUKA,797122_A0A9K3CRZ0_9EUKA"	"16"	"19"
"MOG0000002"	"1257118_ACANB14942_t1"	""	""	"201153_A0A8J6ARL3_9EUKA,201153_A0A8J6E114_9EUKA,342808_KAJ4462472.1,342808_KAJ4462473.1,5742_A0A4Z1SZF1_GIAMU"	"201153_A0A8J6B1G1_9EUKA,201153_A0A8J6DYG0_9EUKA,2081491_A0A8J5XC66_DIALT,2081491_A0A8J5Y1D8_DIALT,28002_CAK9353526.1,28002_CAK9388805.1,2951_A0A1Q9EJK4_SYMMI,342808_KAJ4459073.1,348837_V6LR64_9EUKA,483367_KAJ1626792.1,5741_KAE8303242.1,5741_KAE8303245.1,5741_KAE8304641.1,5742_A0A4Z1SLN7_GIAMU,797122_A0A9K3CR13_9EUKA,797122_A0A9K3CRZ0_9EUKA"	"16"	"19"
"MOG0000002"	"1257118_ACANB13647_t1"	""	""	"133409_A0A8J4V4S7_9MYCE,1410327_XP_012759638.1,261658_F4PK92_CACFS,261658_F4PL71_CACFS,361077_A0A152A0F9_TIELA,361077_A0A152A2A0_TIELA,44689_CFAD_DICDI,5786_F0ZLG1_DICPU,670386_D3BCE4_HETP5,79012_KAK5584387.1"	"1890364_A0A2P6NTY8_9EUKA"	"55"	"57"
"MOG0000002"	"1257118_ACANB09617_t1"	""	""	"133409_A0A8J4PK31_9MYCE,133409_A0A8J4PK60_9MYCE,133409_A0A8J4PM98_9MYCE,133409_A0A8J4PPD9_9MYCE,133409_A0A8J4PUB2_9MYCE,133409_A0A8J4PUB7_9MYCE,133409_A0A8J4Q3K8_9MYCE,133409_A0A8J4Q4F8_9MYCE,133409_A0A8J4Q529_9MYCE,133409_A0A8J4Q5D5_9MYCE,133409_A0A8J4UNR5_9MYCE,133409_A0A8J4UZG6_9MYCE,133409_A0A8J4V421_9MYCE,133409_A0A8J4V7D8_9MYCE,1410327_XP_012747783.1,1410327_XP_012750240.1,1410327_XP_012755961.1,1410327_XP_012757186.1,1410327_XP_012759711.1,1410327_XP_012760013.1,261658_F4PRJ8_CACFS,261658_F4PUZ9_CACFS,261658_F4PYG8_CACFS,261658_F4PYW8_CACFS,261658_F4Q361_CACFS,261658_F4Q5Z9_CACFS,261658_F4QBX3_CACFS,261658_F4QF71_CACFS,2983908_Mvickermani_transcript06407.p1,2983909_Mspyraenae_transcript04255.p2,342808_KAJ4454195.1,342808_KAJ4459671.1,342808_KAJ4461227.1,361077_A0A151Z685_TIELA,361077_A0A151ZFK4_TIELA,361077_A0A152A2S2_TIELA,361077_A0A152A2U7_TIELA,361077_A0A152A2U8_TIELA,361077_A0A152A2Z2_TIELA,361077_A0A152A3H1_TIELA,361077_A0A152A566_TIELA,361077_A0A152A9R5_TIELA,361077_A0A152A9V7_TIELA,44689_CYSP2_DICDI,44689_CYSP3_DICDI,44689_CYSP4_DICDI,44689_CYSP5_DICDI,44689_CYSP6_DICDI,44689_CYSP7_DICDI,44689_Q54RQ2_DICDI,44689_Q54Y60_DICDI,44689_Q7KWP5_DICDI,5786_F0ZBK9_DICPU,5786_F0ZDJ4_DICPU,5786_F0ZGH2_DICPU,5786_F0ZNC7_DICPU,5786_F0ZR45_DICPU,5786_F0ZR46_DICPU,5786_F0ZT73_DICPU,5786_F0ZT74_DICPU,5786_F0ZT75_DICPU,5786_F1A0L7_DICPU,670386_D3AXL6_HETP5,670386_D3B6N0_HETP5,670386_D3BB03_HETP5,670386_D3BB13_HETP5,670386_D3BJ60_HETP5,670386_D3BKJ7_HETP5,670386_D3BL12_HETP5,670386_D3BUN6_HETP5,79012_KAK5575155.1,79012_KAK5575163.1,79012_KAK5575179.1,79012_KAK5581385.1,79012_KAK5581639.1,79012_KAK5582438.1,79012_KAK5582686.1,79012_KAK5582706.1,79012_KAK5582886.1"	"2820187_XP_063689501.1,2820187_XP_063691524.1,2820187_XP_063691960.1"	"66"	"66"
"MOG0000002"	"1257118_ACANB00131_t1"	""	""	"133409_A0A8J4PK31_9MYCE,133409_A0A8J4PK60_9MYCE,133409_A0A8J4PM98_9MYCE,133409_A0A8J4PPD9_9MYCE,133409_A0A8J4PUB2_9MYCE,133409_A0A8J4PUB7_9MYCE,133409_A0A8J4Q3K8_9MYCE,133409_A0A8J4Q4F8_9MYCE,133409_A0A8J4Q529_9MYCE,133409_A0A8J4Q5D5_9MYCE,133409_A0A8J4UNR5_9MYCE,133409_A0A8J4UZG6_9MYCE,133409_A0A8J4V421_9MYCE,133409_A0A8J4V7D8_9MYCE,1410327_XP_012747783.1,1410327_XP_012750240.1,1410327_XP_012755961.1,1410327_XP_012757186.1,1410327_XP_012759711.1,1410327_XP_012760013.1,261658_F4PRJ8_CACFS,261658_F4PUZ9_CACFS,261658_F4PYG8_CACFS,261658_F4PYW8_CACFS,261658_F4Q361_CACFS,261658_F4Q5Z9_CACFS,261658_F4QBX3_CACFS,261658_F4QF71_CACFS,2983908_Mvickermani_transcript06407.p1,2983909_Mspyraenae_transcript04255.p2,342808_KAJ4454195.1,342808_KAJ4459671.1,342808_KAJ4461227.1,361077_A0A151Z685_TIELA,361077_A0A151ZFK4_TIELA,361077_A0A152A2S2_TIELA,361077_A0A152A2U7_TIELA,361077_A0A152A2U8_TIELA,361077_A0A152A2Z2_TIELA,361077_A0A152A3H1_TIELA,361077_A0A152A566_TIELA,361077_A0A152A9R5_TIELA,361077_A0A152A9V7_TIELA,44689_CYSP2_DICDI,44689_CYSP3_DICDI,44689_CYSP4_DICDI,44689_CYSP5_DICDI,44689_CYSP6_DICDI,44689_CYSP7_DICDI,44689_Q54RQ2_DICDI,44689_Q54Y60_DICDI,44689_Q7KWP5_DICDI,5786_F0ZBK9_DICPU,5786_F0ZDJ4_DICPU,5786_F0ZGH2_DICPU,5786_F0ZNC7_DICPU,5786_F0ZR45_DICPU,5786_F0ZR46_DICPU,5786_F0ZT73_DICPU,5786_F0ZT74_DICPU,5786_F0ZT75_DICPU,5786_F1A0L7_DICPU,670386_D3AXL6_HETP5,670386_D3B6N0_HETP5,670386_D3BB03_HETP5,670386_D3BB13_HETP5,670386_D3BJ60_HETP5,670386_D3BKJ7_HETP5,670386_D3BL12_HETP5,670386_D3BUN6_HETP5,79012_KAK5575155.1,79012_KAK5575163.1,79012_KAK5575179.1,79012_KAK5581385.1,79012_KAK5581639.1,79012_KAK5582438.1,79012_KAK5582686.1,79012_KAK5582706.1,79012_KAK5582886.1"	"2820187_XP_063689501.1,2820187_XP_063691524.1,2820187_XP_063691960.1"	"66"	"66"
"MOG0000002"	"1257118_ACANB00132_t1"	""	""	"133409_A0A8J4PK31_9MYCE,133409_A0A8J4PK60_9MYCE,133409_A0A8J4PM98_9MYCE,133409_A0A8J4PPD9_9MYCE,133409_A0A8J4PUB2_9MYCE,133409_A0A8J4PUB7_9MYCE,133409_A0A8J4Q3K8_9MYCE,133409_A0A8J4Q4F8_9MYCE,133409_A0A8J4Q529_9MYCE,133409_A0A8J4Q5D5_9MYCE,133409_A0A8J4UNR5_9MYCE,133409_A0A8J4UZG6_9MYCE,133409_A0A8J4V421_9MYCE,133409_A0A8J4V7D8_9MYCE,1410327_XP_012747783.1,1410327_XP_012750240.1,1410327_XP_012755961.1,1410327_XP_012757186.1,1410327_XP_012759711.1,1410327_XP_012760013.1,261658_F4PRJ8_CACFS,261658_F4PUZ9_CACFS,261658_F4PYG8_CACFS,261658_F4PYW8_CACFS,261658_F4Q361_CACFS,261658_F4Q5Z9_CACFS,261658_F4QBX3_CACFS,261658_F4QF71_CACFS,2983908_Mvickermani_transcript06407.p1,2983909_Mspyraenae_transcript04255.p2,342808_KAJ4454195.1,342808_KAJ4459671.1,342808_KAJ4461227.1,361077_A0A151Z685_TIELA,361077_A0A151ZFK4_TIELA,361077_A0A152A2S2_TIELA,361077_A0A152A2U7_TIELA,361077_A0A152A2U8_TIELA,361077_A0A152A2Z2_TIELA,361077_A0A152A3H1_TIELA,361077_A0A152A566_TIELA,361077_A0A152A9R5_TIELA,361077_A0A152A9V7_TIELA,44689_CYSP2_DICDI,44689_CYSP3_DICDI,44689_CYSP4_DICDI,44689_CYSP5_DICDI,44689_CYSP6_DICDI,44689_CYSP7_DICDI,44689_Q54RQ2_DICDI,44689_Q54Y60_DICDI,44689_Q7KWP5_DICDI,5786_F0ZBK9_DICPU,5786_F0ZDJ4_DICPU,5786_F0ZGH2_DICPU,5786_F0ZNC7_DICPU,5786_F0ZR45_DICPU,5786_F0ZR46_DICPU,5786_F0ZT73_DICPU,5786_F0ZT74_DICPU,5786_F0ZT75_DICPU,5786_F1A0L7_DICPU,670386_D3AXL6_HETP5,670386_D3B6N0_HETP5,670386_D3BB03_HETP5,670386_D3BB13_HETP5,670386_D3BJ60_HETP5,670386_D3BKJ7_HETP5,670386_D3BL12_HETP5,670386_D3BUN6_HETP5,79012_KAK5575155.1,79012_KAK5575163.1,79012_KAK5575179.1,79012_KAK5581385.1,79012_KAK5581639.1,79012_KAK5582438.1,79012_KAK5582686.1,79012_KAK5582706.1,79012_KAK5582886.1"	"2820187_XP_063689501.1,2820187_XP_063691524.1,2820187_XP_063691960.1"	"66"	"66"
"MOG0000002"	"1257118_ACANB03139_t1"	""	""	"108607_MBAL_007901RA-p1,108607_MBAL_007907RA-p1,108607_MBAL_007910RA-p1,108607_MBAL_007912RA-p1,108607_MBAL_007913RA-p1,108607_MBAL_008302RA-p1,108607_MBAL_011765RA-p1,108607_MBAL_012043RA-p1,Nitrospiria_2016548_A0A2U3QIN1_9BACT"	"5949_A0A077ZR29_STYLE,5949_A0A078AC39_STYLE,5949_A0A078B2Z0_STYLE,7227_Q9VKY4_DROME"	"74"	"77"
"MOG0000002"	"1257118_ACANB11545_t1"	""	""	"108607_MBAL_007901RA-p1,108607_MBAL_007907RA-p1,108607_MBAL_007910RA-p1,108607_MBAL_007912RA-p1,108607_MBAL_007913RA-p1,108607_MBAL_008302RA-p1,108607_MBAL_011765RA-p1,108607_MBAL_012043RA-p1,Nitrospiria_2016548_A0A2U3QIN1_9BACT"	"5949_A0A077ZR29_STYLE,5949_A0A078AC39_STYLE,5949_A0A078B2Z0_STYLE,7227_Q9VKY4_DROME"	"74"	"77"
"MOG0000002"	"1257118_ACANB11611_t1"	""	""	"108607_MBAL_007901RA-p1,108607_MBAL_007907RA-p1,108607_MBAL_007910RA-p1,108607_MBAL_007912RA-p1,108607_MBAL_007913RA-p1,108607_MBAL_008302RA-p1,108607_MBAL_011765RA-p1,108607_MBAL_012043RA-p1,Nitrospiria_2016548_A0A2U3QIN1_9BACT"	"5949_A0A077ZR29_STYLE,5949_A0A078AC39_STYLE,5949_A0A078B2Z0_STYLE,7227_Q9VKY4_DROME"	"74"	"77"
